t_gps,r_x,r_y,r_z,v_x,v_y,v_z
1461490944.934000,4150517.349004,1030242.301555,4716827.410467,-75.114562,301.775956,0.182737
1461490949.934000,4150141.501151,1031751.112759,4716828.324857,-75.224586,301.748548,0.183020
1461490954.934000,4149765.103204,1033259.786826,4716829.240665,-75.334600,301.721101,0.183304
1461490959.934000,4149388.155212,1034768.323556,4716830.157890,-75.444603,301.693613,0.183587
1461490964.934000,4149010.657226,1036276.722748,4716831.076533,-75.554597,301.666086,0.183871
1461490969.934000,4148632.609296,1037784.984201,4716831.996593,-75.664581,301.638518,0.184154
1461490974.934000,4148254.011472,1039293.107715,4716832.918071,-75.774555,301.610910,0.184438
1461490979.934000,4147874.863804,1040801.093089,4716833.840965,-75.884518,301.583262,0.184721
1461490984.934000,4147495.166343,1042308.940123,4716834.765277,-75.994472,301.555574,0.185004
1461490989.934000,4147114.919140,1043816.648617,4716835.691006,-76.104416,301.527846,0.185288
1461490994.934000,4146734.122244,1045324.218370,4716836.618151,-76.214349,301.500078,0.185571
1461490999.934000,4146352.775707,1046831.649181,4716837.546713,-76.324272,301.472269,0.185854
1461491004.934000,4145970.879580,1048338.940851,4716838.476692,-76.434185,301.444421,0.186138
1461491009.934000,4145588.433912,1049846.093179,4716839.408087,-76.544088,301.416532,0.186421
1461491014.934000,4145205.438755,1051353.105964,4716840.340898,-76.653981,301.388604,0.186704
1461491019.934000,4144821.894160,1052859.979006,4716841.275126,-76.763863,301.360635,0.186987
1461491024.934000,4144437.800177,1054366.712105,4716842.210769,-76.873736,301.332627,0.187271
1461491029.934000,4144053.156859,1055873.305061,4716843.147829,-76.983598,301.304578,0.187554
1461491034.934000,4143667.964255,1057379.757673,4716844.086304,-77.093450,301.276489,0.187837
1461491039.934000,4143282.222417,1058886.069741,4716845.026195,-77.203291,301.248360,0.188120
1461491044.934000,4142895.931397,1060392.241064,4716845.967501,-77.313123,301.220191,0.188403
1461491049.934000,4142509.091246,1061898.271444,4716846.910223,-77.422944,301.191983,0.188686
1461491054.934000,4142121.702014,1063404.160678,4716847.854360,-77.532755,301.163734,0.188969
1461491059.934000,4141733.763755,1064909.908568,4716848.799913,-77.642555,301.135445,0.189252
1461491064.934000,4141345.276518,1066415.514913,4716849.746880,-77.752345,301.107116,0.189535
1461491069.934000,4140956.240357,1067920.979512,4716850.695262,-77.862125,301.078747,0.189818
1461491074.934000,4140566.655322,1069426.302166,4716851.645059,-77.971895,301.050337,0.190101
1461491079.934000,4140176.521466,1070931.482675,4716852.596271,-78.081654,301.021888,0.190384
1461491084.934000,4139785.838840,1072436.520838,4716853.548897,-78.191403,300.993399,0.190667
1461491089.934000,4139394.607496,1073941.416456,4716854.502938,-78.301141,300.964870,0.190950
1461491094.934000,4139002.827486,1075446.169328,4716855.458393,-78.410869,300.936301,0.191233
1461491099.934000,4138610.498862,1076950.779254,4716856.415262,-78.520587,300.907692,0.191515
1461491104.934000,4138217.621677,1078455.246034,4716857.373545,-78.630294,300.879043,0.191798
1461491109.934000,4137824.195983,1079959.569469,4716858.333242,-78.739990,300.850354,0.192081
1461491114.934000,4137430.221832,1081463.749358,4716859.294353,-78.849676,300.821624,0.192364
1461491119.934000,4137035.699276,1082967.785502,4716860.256877,-78.959352,300.792855,0.192646
1461491124.934000,4136640.628368,1084471.677700,4716861.220815,-79.069017,300.764046,0.192929
1461491129.934000,4136245.009160,1085975.425752,4716862.186167,-79.178672,300.735197,0.193212
1461491134.934000,4135848.841705,1087479.029459,4716863.152931,-79.288316,300.706308,0.193494
1461491139.934000,4135452.126056,1088982.488621,4716864.121109,-79.397950,300.677379,0.193777
1461491144.934000,4135054.862265,1090485.803037,4716865.090700,-79.507573,300.648410,0.194060
1461491149.934000,4134657.050385,1091988.972509,4716866.061704,-79.617185,300.619401,0.194342
1461491154.934000,4134258.690469,1093491.996835,4716867.034120,-79.726787,300.590352,0.194625
1461491159.934000,4133859.782570,1094994.875817,4716868.007949,-79.836379,300.561263,0.194907
1461491164.934000,4133460.326741,1096497.609255,4716868.983191,-79.945959,300.532134,0.195190
1461491169.934000,4133060.323035,1098000.196948,4716869.959844,-80.055529,300.502965,0.195472
1461491174.934000,4132659.771506,1099502.638697,4716870.937911,-80.165089,300.473757,0.195755
1461491179.934000,4132258.672206,1101004.934303,4716871.917389,-80.274637,300.444508,0.196037
1461491184.934000,4131857.025188,1102507.083565,4716872.898279,-80.384176,300.415219,0.196319
1461491189.934000,4131454.830507,1104009.086284,4716873.880581,-80.493703,300.385891,0.196602
1461491194.934000,4131052.088216,1105510.942261,4716874.864295,-80.603220,300.356522,0.196884
1461491199.934000,4130648.798368,1107012.651295,4716875.849420,-80.712726,300.327114,0.197166
1461491204.934000,4130244.961017,1108514.213186,4716876.835957,-80.822221,300.297665,0.197449
1461491209.934000,4129840.576217,1110015.627737,4716877.823905,-80.931705,300.268177,0.197731
1461491214.934000,4129435.644020,1111516.894746,4716878.813264,-81.041179,300.238649,0.198013
1461491219.934000,4129030.164482,1113018.014014,4716879.804034,-81.150642,300.209081,0.198295
1461491224.934000,4128624.137656,1114518.985341,4716880.796215,-81.260094,300.179473,0.198577
1461491229.934000,4128217.563596,1116019.808529,4716881.789807,-81.369536,300.149825,0.198860
1461491234.934000,4127810.442356,1117520.483377,4716882.784810,-81.478966,300.120137,0.199142
1461491239.934000,4127402.773990,1119021.009687,4716883.781223,-81.588386,300.090409,0.199424
1461491244.934000,4126994.558553,1120521.387258,4716884.779047,-81.697795,300.060642,0.199706
1461491249.934000,4126585.796098,1122021.615891,4716885.778280,-81.807193,300.030834,0.199988
1461491254.934000,4126176.486680,1123521.695386,4716886.778924,-81.916580,300.000987,0.200270
1461491259.934000,4125766.630354,1125021.625545,4716887.780978,-82.025957,299.971099,0.200552
1461491264.934000,4125356.227173,1126521.406168,4716888.784442,-82.135322,299.941172,0.200834
1461491269.934000,4124945.277193,1128021.037056,4716889.789316,-82.244676,299.911205,0.201116
1461491274.934000,4124533.780468,1129520.518008,4716890.795599,-82.354020,299.881198,0.201398
1461491279.934000,4124121.737053,1131019.848826,4716891.803291,-82.463352,299.851151,0.201679
1461491284.934000,4123709.147002,1132519.029311,4716892.812393,-82.572674,299.821065,0.201961
1461491289.934000,4123296.010371,1134018.059263,4716893.822904,-82.681985,299.790938,0.202243
1461491294.934000,4122882.327214,1135516.938483,4716894.834824,-82.791284,299.760772,0.202525
1461491299.934000,4122468.097586,1137015.666772,4716895.848153,-82.900573,299.730566,0.202807
1461491304.934000,4122053.321543,1138514.243930,4716896.862891,-83.009851,299.700320,0.203088
1461491309.934000,4121637.999139,1140012.669758,4716897.879038,-83.119117,299.670034,0.203370
1461491314.934000,4121222.130430,1141510.944057,4716898.896593,-83.228373,299.639708,0.203652
1461491319.934000,4120805.715471,1143009.066628,4716899.915556,-83.337617,299.609343,0.203933
1461491324.934000,4120388.754318,1144507.037272,4716900.935928,-83.446851,299.578937,0.204215
1461491329.934000,4119971.247025,1146004.855789,4716901.957708,-83.556073,299.548492,0.204497
1461491334.934000,4119553.193648,1147502.521981,4716902.980895,-83.665284,299.518007,0.204778
1461491339.934000,4119134.594243,1149000.035648,4716904.005491,-83.774484,299.487482,0.205060
1461491344.934000,4118715.448866,1150497.396591,4716905.031494,-83.883673,299.456918,0.205341
1461491349.934000,4118295.757572,1151994.604612,4716906.058905,-83.992851,299.426313,0.205623
1461491354.934000,4117875.520418,1153491.659510,4716907.087723,-84.102017,299.395669,0.205904
1461491359.934000,4117454.737458,1154988.561088,4716908.117949,-84.211173,299.364985,0.206186
1461491364.934000,4117033.408749,1156485.309146,4716909.149581,-84.320317,299.334261,0.206467
1461491369.934000,4116611.534346,1157981.903485,4716910.182621,-84.429450,299.303497,0.206749
1461491374.934000,4116189.114307,1159478.343906,4716911.217068,-84.538572,299.272694,0.207030
1461491379.934000,4115766.148687,1160974.630211,4716912.252921,-84.647682,299.241851,0.207311
