t_gps,r_x,r_y,r_z,v_x,v_y,v_z
1460406405.985957,5949434.182354,-536501.472765,2230223.686518,39.127890,433.420985,-0.115598
1460406495.985957,5952827.665668,-497482.309676,2230213.610121,36.282577,433.668443,-0.108308
1460406585.985957,5955964.999571,-458441.715856,2230204.190069,33.435701,433.897222,-0.101013
1460406675.985957,5958846.048934,-419381.372844,2230195.426766,30.587385,434.107312,-0.093714
1460406765.985957,5961470.689665,-380302.963029,2230187.320592,27.737752,434.298705,-0.086411
1460406855.985957,5963838.808717,-341208.169580,2230179.871895,24.886924,434.471391,-0.079104
1460406945.985957,5965950.304091,-302098.676368,2230173.080996,22.035024,434.625365,-0.071793
1460407035.985957,5967805.084843,-262976.167902,2230166.948188,19.182175,434.760618,-0.064480
1460407125.985957,5969403.071083,-223842.329246,2230161.473735,16.328500,434.877146,-0.057164
1460407215.985957,5970744.193985,-184698.845958,2230156.657872,13.474121,434.974943,-0.049845
1460407305.985957,5971828.395783,-145547.404007,2230152.500807,10.619162,435.054004,-0.042524
1460407395.985957,5972655.629780,-106389.689706,2230149.002719,7.763746,435.114328,-0.035201
1460407485.985957,5973225.860346,-67227.389640,2230146.163760,4.907995,435.155910,-0.027877
1460407575.985957,5973539.062919,-28062.190588,2230143.984051,2.052033,435.178749,-0.020551
1460407665.985957,5973595.224009,11104.220543,2230142.463686,-0.804017,435.182845,-0.013225
1460407755.985957,5973394.341198,50270.156796,2230141.602730,-3.660033,435.168197,-0.005898
1460407845.985957,5972936.423138,89433.931232,2230141.401222,-6.515891,435.134805,0.001429
1460407935.985957,5972221.489553,128593.857008,2230141.859169,-9.371469,435.082671,0.008756
1460408025.985957,5971249.571234,167748.247445,2230142.976552,-12.226642,435.011798,0.016083
1460408115.985957,5970020.710046,206895.416101,2230144.753323,-15.081290,434.922188,0.023409
1460408205.985957,5968534.958915,246033.676850,2230147.189406,-17.935287,434.813845,0.030734
1460408295.985957,5966792.381837,285161.343943,2230150.284695,-20.788513,434.686774,0.038058
1460408385.985957,5964793.053867,324276.732094,2230154.039057,-23.640842,434.540981,0.045380
1460408475.985957,5962537.061118,363378.156541,2230158.452330,-26.492154,434.376471,0.052700
