t_gps_s,r_x,r_y,r_z,v_x,v_y,v_z
1461957111.408,4680.455469407945,5117.609109270356,-2361.2819731075992,0.7252270376875458,2.5154191484971307,6.89863818208778
1461957116.408,4684.022249306419,5130.121306797488,-2326.7588727094003,0.70148037832314,2.489432636838501,6.910555369175199
1461957121.408,4687.470249571472,5142.503412003945,-2292.1766246432503,0.6777153453476785,2.4633823569238302,6.922297173315201
1461957126.408,4690.799379851305,5154.755107705643,-2257.536106599482,0.6539325463018031,2.4372689719812115,6.933863284743893
1461957131.408,4694.009552832868,5166.87608003923,-2222.838197806026,0.6301325883878235,2.411093147802603,6.945253398243949
1461957136.408,4697.100684242763,5178.866018472306,-2188.0837790057035,0.6063160800686092,2.3848555511940503,6.956467213153701
1461957141.408,4700.072692850253,5190.724615811929,-2153.273732432835,0.5824836304800556,2.3585568505623087,6.967504433381237
1461957146.408,4702.925500471419,5202.451568211064,-2118.4089417915097,0.5586358486561949,2.3321977165123826,6.9783647674025815
1461957151.408,4705.65903196836,5214.046575180532,-2083.4902922312663,0.5347733453063483,2.305778820255,6.9890479282858
1461957156.408,4708.273215255144,5225.509339593542,-2048.5186703253207,0.5108967287806081,2.279300837187293,6.999553633691221
1461957161.408,4710.767981296142,5236.839567697669,-2013.494964047087,0.48700661158,2.252764440988358,7.009881605879173
1461957166.408,4713.143264112945,5248.036969118626,-1978.4200627472223,0.46310360442930687,2.226170308951623,7.020031571727941
1461957171.408,4715.399000781919,5259.101256872571,-1943.294857130189,0.4391883184407561,2.1995191199775945,7.030003262740593
1461957176.408,4717.535131440198,5270.032147370174,-1908.1202392317377,0.4152613660444331,2.172811553730753,7.03979641504543
1461957181.408,4719.551599283482,5280.829360428368,-1872.89710239525,0.39132335927934037,2.1460482920920185,7.049410769413726
1461957186.408,4721.448350572524,5291.492619273838,-1837.6263412488483,0.3673749116178442,2.119230017557129,7.058846071263588
1461957191.408,4723.225334630123,5302.021650555045,-1802.3088516817609,0.343416634613277,2.092357416145205,7.06810207067474
1461957196.408,4724.88250384715,5312.416184345805,-1766.9455308213685,0.3194491433150688,2.0654311725566004,7.077178522387385
1461957201.408,4726.419813681476,5322.675954155239,-1731.537277009504,0.2954730505171028,2.038451975256976,7.0860751858181175
1461957206.408,4727.837222659899,5332.800696934549,-1696.084989779789,0.2714889703647714,2.0114205132422285,7.094791825066068
1461957211.408,4729.1346923807105,5342.790153083718,-1660.5895698329236,0.24749751668787212,1.984337477488225,7.103328208921312
1461957216.408,4730.312187513155,5352.644066459872,-1625.051919014616,0.22349930493874126,1.957203559174559,7.111684110862825
1461957221.408,4731.369675801019,5362.362184382628,-1589.472940291211,0.19949494913362287,1.9300194523866594,7.119859309085996
1461957226.408,4732.307128061393,5371.944257643213,-1553.8535377262103,0.175485064750319,1.9027858515064509,7.127853586493529
1461957231.408,4733.124518188302,5381.390040508884,-1518.1946164572191,0.15147026669092156,1.8755034529585828,7.135666730708863
1461957236.408,4733.821823150421,5390.699290732974,-1482.4970826714978,0.12745117084432422,1.8481729538580112,7.14329853407844
1461957241.408,4734.399022996533,5399.871769557249,-1446.7618435832424,0.10342839249278768,1.8207950533142139,7.150748793690354
1461957246.408,4734.856100851519,5408.907241723073,-1410.9898074091552,0.07940254692493909,1.7933704518782179,7.1580173113702585
1461957251.408,4735.193042920907,5417.805475474438,-1375.1818833450243,0.055374250960994686,1.7658998501956376,7.165103893691139
1461957256.408,4735.409838488969,5426.56624256668,-1339.3389815420205,0.03134411984956387,1.7383839516596709,7.172008351979002
1461957261.408,4735.5064799206375,5435.189318271609,-1303.4620130827338,0.007312770487260423,1.7108234595607428,7.178730502327198
1461957266.408,4735.482962662369,5443.674481383441,-1267.5518899575545,-0.016719182143788203,1.6832190801987963,7.185270165588008
1461957271.408,4735.339285241423,5452.021514225876,-1231.6095250406597,-0.04075111989550351,1.6555715183712891,7.191627167389015
1461957276.408,4735.075449266691,5460.23020265775,-1195.6358320660977,-0.0647824284296803,1.6278814834495279,7.197801338144018
1461957281.408,4734.691459428602,5468.300336079139,-1159.6317256043071,-0.0888124899702234,1.600149683023119,7.2037925130416625
1461957286.408,4734.187323500057,5476.231707436697,-1123.5981210373411,-0.11284068903387379,1.5723768278467105,7.2096005320704535
1461957291.408,4733.563052335726,5484.02411322989,-1087.5359345357506,-0.13686640812557016,1.544563628074684,7.215225240004656
1461957296.408,4732.818659872945,5491.677353515917,-1051.4460830340363,-0.16088903208947158,1.5167107969818971,7.220666486430673
1461957301.408,4731.954163129934,5499.191231916666,-1015.3294842071341,-0.1849079434568921,1.4888190469346227,7.225924125736697
1461957306.408,4730.969582207897,5506.565555622253,-979.1870564456475,-0.2089225265353889,1.46088909286118,7.230998017121237
1461957311.408,4729.864940287956,5513.800135398654,-943.0197188324928,-0.23293216474939982,1.4329216499299946,7.235888024602218
1461957316.408,4728.640263634709,5520.894785589639,-906.8283911184795,-0.25693624254654424,1.4049174351566762,7.2405940170201575
1461957321.408,4727.295581590749,5527.849324126275,-870.6139936980182,-0.28093414276008843,1.376877165103906,7.245115868035782
1461957326.408,4725.830926580818,5534.663572527848,-834.3774475852501,-0.30492525020235917,1.3488015589327915,7.249453456147307
1461957331.408,4724.2463341076245,5541.337355909905,-798.1196743900168,-0.3289089495247026,1.3206913365293076,7.253606664684298
1461957336.408,4722.541842754209,5547.870502986489,-761.8415962931954,-0.3528846237823018,1.2925472172510126,7.25757538181449
1461957341.408,4720.717494180365,5554.262846077207,-725.5441360229783,-0.3768516584214012,1.2643699232739891,7.261359500550043
1461957346.408,4718.773333123932,5560.514221110072,-689.2282168302313,-0.40080943700559146,1.2361601759521363,7.264958918744583
1461957351.408,4716.709407398124,5566.624467627465,-652.8947624646726,-0.4247573463107983,1.207918700085429,7.2683735391130995
1461957356.408,4714.52576789121,5572.593428789966,-616.5446971500631,-0.4486947696987045,1.1796462182655887,7.271603269212392
1461957361.408,4712.222468566216,5578.420951379915,-580.1789455607608,-0.47262109329585655,1.1513434560893074,7.2746480214607345
1461957366.408,4709.799566458074,5584.106885807135,-543.7984327964955,-0.49653570269219927,1.1230111393197149,7.277507713139812
1461957371.408,4707.257121673916,5589.651086111636,-507.4040843586587,-0.52043798327486,1.0946499941364891,7.280182266387612
1461957376.408,4704.595197389755,5595.0534099692595,-470.9968261259178,-0.5443273218379545,1.0662607484482578,7.282671608215082
1461957381.408,4701.813859851205,5600.313718693816,-434.57758432953193,-0.5682031041997107,1.0378441298753387,7.284975670495157
1461957386.408,4698.913178370044,5605.431877242418,-398.14728552954284,-0.5920647177763385,1.0094008678706814,7.287094389978392
1461957391.408,4695.89322532409,5610.407754217971,-361.70685658987225,-0.6159115492155252,0.9809316916807802,7.289027708281594
1461957396.408,4692.754076153414,5615.241221874492,-325.25722465429544,-0.6397429858388932,0.9524373315252888,7.290775571904419
1461957401.408,4689.495809361539,5619.932156118088,-288.7993171220631,-0.663558416313208,0.9239185191318029,7.292337932219596
1461957406.408,4686.118506510138,5624.4804365132295,-252.33406162319665,-0.6873572285558112,0.8953759859705315,7.2937147454793205
1461957411.408,4682.622252219294,5628.885946284152,-215.86238599450192,-0.7111388105959122,0.8668104638918521,7.29490597281881
1461957416.408,4679.007134165218,5633.148572318279,-179.38521825468155,-0.7349025521516523,0.8382226864559925,7.295911580254511
1461957421.408,4675.273243076511,5637.268205170596,-142.90348658044658,-0.7586478421289939,0.8096133867566095,7.296731538688306
1461957426.408,4671.420672734253,5641.244739064718,-106.41811928167381,-0.7823740719595662,0.7809833002111191,7.297365823909416
1461957431.408,4667.449519967134,5645.078071897875,-69.93004477739025,-0.8060806306684754,0.7523331604334089,7.297814416587002
1461957436.408,4663.359884651365,5648.768105241854,-33.44019157056993,-0.8297669095554738,0.7236637030273414,7.298077302283282
1461957441.408,4659.151869706296,5652.31474434712,3.0505117753461324,-0.8534323005724218,0.6949756642788998,7.298154471447223
1461957446.408,4654.825581093334,5655.717898144237,39.54113666159143,-0.8770761954237969,0.6662697803067203,7.298045919414285
1461957451.408,4650.381127811279,5658.977479247988,76.0307544779628,-0.90069798618606,0.6375467875886898,7.297751646410106
1461957456.408,4645.818621896447,5662.0934039573385,112.51843662793212,-0.9242970667892223,0.6088074241424692,7.297271657550866
1461957461.408,4641.138178416222,5665.065592260712,149.00325455252448,-0.9478728307776692,0.5800524276219221,7.2966059628429605
1461957466.408,4636.339915469914,5667.893967835029,185.48427975509696,-0.9714246719750008,0.5512825358528062,7.295754577174733
1461957471.408,4631.423954182205,5670.578458050685,221.96058382543237,-0.9949519859519569,0.522498487996927,7.294717520335041
1461957476.408,4626.390418702387,5673.118993971562,258.4312384647984,-1.0184541676162553,0.49370102253669756,7.293494816990261
1461957481.408,4621.239436200104,5675.515510357842,294.895315509787,-1.0419306139783657,0.4648908795097668,7.292086496702382
1461957486.408,4615.971136862844,5677.7679456670685,331.3518869568371,-1.0653807206272177,0.43606879757498973,7.290492593914564
1461957491.408,4610.585653891706,5679.876242056513,367.80002498699196,-1.0888038865714407,0.4072355179741862,7.2887131479647
1461957496.408,4605.0831234978305,5681.840345384876,404.2388019901166,-1.1121995095772945,0.37839178065496526,7.286748203067532
1461957501.408,4599.463684900429,5683.660205212419,440.6672905893719,-1.1355669878212211,0.3495383255858542,7.284597808324804
1461957506.408,4593.72748032028,5685.335774804663,477.0845636655827,-1.1589057221417534,0.3206758945752881,7.282262017723724
1461957511.408,4587.874654980861,5686.867011129749,513.4896943814724,-1.1822151121969,0.2918052281011114,7.279740890128437
1461957516.408,4581.905357097506,5688.253874865189,549.8817562068207,-1.2054945598611084,0.2629270680281479,7.277034489284574
1461957521.408,4575.819737880957,5689.496330393018,586.2598229417093,-1.228743466506785,0.23404215538175777,7.274142883817717
1461957526.408,4569.617951527101,5690.594345805712,622.6229687418938,-1.251961235757335,0.20515123254062928,7.271066147224587
1461957531.408,4563.300155218054,5691.547892902966,658.9702681423862,-1.2751472699692386,0.1762550403336718,7.267804357877253
1461957536.408,4556.866509114316,5692.3569471953015,695.3007960827464,-1.2983009753797887,0.14735432220641087,7.264357599021082
1461957541.408,4550.3171763523105,5693.021487903387,731.6136279305773,-1.321421755384108,0.11844981873218785,7.2607259587651924
1461957546.408,4543.652323039722,5693.541497958802,767.9078395060855,-1.3445090182822241,0.08954227382582758,7.256909530088365
1461957551.408,4536.872118251,5693.916964004494,804.1825071069844,-1.36756216905178,0.06063242808340874,7.252908410830969
1461957556.408,4529.9767340225935,5694.147876395411,840.4367075317022,-1.3905806172851953,0.031721025156002725,7.248722703693829
1461957561.408,4522.966345350332,5694.234229197113,876.6695181047627,-1.4135637706067428,0.0028088063872928615,7.244352516234699
1461957566.408,4515.841130181639,5694.17602018839,912.8800167003859,-1.4365110396547607,-0.026103485191924847,7.239797960862688
